Model,Metric,Value
baseline,Accuracy,0.9235526315789474
baseline,Precision (macro),0.9235698102093941
baseline,Recall (macro),0.9235526315789474
baseline,F1 (macro),0.9235518564561844
baseline,Precision (micro),0.9235526315789474
baseline,Recall (micro),0.9235526315789474
baseline,F1 (micro),0.9235526315789474
baseline,Precision (weighted),0.9235698102093941
baseline,Recall (weighted),0.9235526315789474
baseline,F1 (weighted),0.9235518564561843
baseline,Confusion TN,17487
baseline,Confusion FP,1513
baseline,Confusion FN,1392
baseline,Confusion TP,17608
baseline,ROC-AUC,0.9746419044321329
baseline,PR-AUC,0.9748786408883722
baseline,MCC,0.8471224416141604
baseline,Brier Score,0.058380895752031293
baseline,ECE,0.006412744920933812
baseline,Accuracy 95% CI low,0.9209203947368422
baseline,Accuracy 95% CI high,0.9262105263157895
baseline,Macro-F1 95% CI low,0.9209199428869272
baseline,Macro-F1 95% CI high,0.9262022304364878
baseline,MCC 95% CI low,0.8418668746068497
baseline,MCC 95% CI high,0.852416315716794
baseline,Macro-F1 [length_bucket=long],0.91999471999472
baseline,Error Rate [length_bucket=long],0.0772684910615945
baseline,Support [length_bucket=long],11803
baseline,Macro-F1 [length_bucket=medium],0.9238357891945352
baseline,Error Rate [length_bucket=medium],0.07611104630817689
baseline,Support [length_bucket=medium],17146
baseline,Macro-F1 [length_bucket=short],0.9206683788907235
baseline,Error Rate [length_bucket=short],0.07601370014363051
baseline,Support [length_bucket=short],9051
baseline,Macro-F1 [has_negation=0],0.9109281097366564
baseline,Error Rate [has_negation=0],0.06346233874323759
baseline,Support [has_negation=0],9612
baseline,Macro-F1 [has_negation=1],0.9165323522834368
baseline,Error Rate [has_negation=1],0.08084401859940815
baseline,Support [has_negation=1],28388
baseline,Macro-F1 [has_but=0],0.9333288533395165
baseline,Error Rate [has_but=0],0.06573782274561835
baseline,Support [has_but=0],18087
baseline,Macro-F1 [has_but=1],0.9129300475997006
baseline,Error Rate [has_but=1],0.08617486064380053
baseline,Support [has_but=1],19913
baseline,Macro-F1 [has_exclamation=0],0.910587685467108
baseline,Error Rate [has_exclamation=0],0.08721272834413674
baseline,Support [has_exclamation=0],20364
baseline,Macro-F1 [has_exclamation=1],0.9336385402696169
baseline,Error Rate [has_exclamation=1],0.06401678385121345
baseline,Support [has_exclamation=1],17636
baseline,Parameter Count,2576641
baseline,Training Time (sec),71.05578970909119
baseline,Training Examples/sec,5629.379416338008
baseline,Inference Examples/sec,21677.569859573607
baseline,Peak Memory (MB),903.0
baseline,Peak Memory Source,process_rss
baseline,Device,cpu
baseline,Epochs,4
baseline,Best Epoch,3
baseline,Optimizer Steps,1564
