Metric,baseline
Accuracy,0.9235526315789474
Precision (macro),0.9235698102093941
Recall (macro),0.9235526315789474
F1 (macro),0.9235518564561844
Precision (micro),0.9235526315789474
Recall (micro),0.9235526315789474
F1 (micro),0.9235526315789474
Precision (weighted),0.9235698102093941
Recall (weighted),0.9235526315789474
F1 (weighted),0.9235518564561843
Confusion TN,17487
Confusion FP,1513
Confusion FN,1392
Confusion TP,17608
ROC-AUC,0.9746419044321329
PR-AUC,0.9748786408883722
MCC,0.8471224416141604
Brier Score,0.058380895752031293
ECE,0.006412744920933812
Accuracy 95% CI low,0.9209203947368422
Accuracy 95% CI high,0.9262105263157895
Macro-F1 95% CI low,0.9209199428869272
Macro-F1 95% CI high,0.9262022304364878
MCC 95% CI low,0.8418668746068497
MCC 95% CI high,0.852416315716794
Macro-F1 [length_bucket=long],0.91999471999472
Error Rate [length_bucket=long],0.0772684910615945
Support [length_bucket=long],11803
Macro-F1 [length_bucket=medium],0.9238357891945352
Error Rate [length_bucket=medium],0.07611104630817689
Support [length_bucket=medium],17146
Macro-F1 [length_bucket=short],0.9206683788907235
Error Rate [length_bucket=short],0.07601370014363051
Support [length_bucket=short],9051
Macro-F1 [has_negation=0],0.9109281097366564
Error Rate [has_negation=0],0.06346233874323759
Support [has_negation=0],9612
Macro-F1 [has_negation=1],0.9165323522834368
Error Rate [has_negation=1],0.08084401859940815
Support [has_negation=1],28388
Macro-F1 [has_but=0],0.9333288533395165
Error Rate [has_but=0],0.06573782274561835
Support [has_but=0],18087
Macro-F1 [has_but=1],0.9129300475997006
Error Rate [has_but=1],0.08617486064380053
Support [has_but=1],19913
Macro-F1 [has_exclamation=0],0.910587685467108
Error Rate [has_exclamation=0],0.08721272834413674
Support [has_exclamation=0],20364
Macro-F1 [has_exclamation=1],0.9336385402696169
Error Rate [has_exclamation=1],0.06401678385121345
Support [has_exclamation=1],17636
Parameter Count,2576641
Training Time (sec),71.05578970909119
Training Examples/sec,5629.379416338008
Inference Examples/sec,21677.569859573607
Peak Memory (MB),903.0
Peak Memory Source,process_rss
Device,cpu
Epochs,4
Best Epoch,3
Optimizer Steps,1564
