Metric,baseline,textcnn,bilstm
Accuracy,0.5055,0.6,0.5985
Precision (macro),0.6103912601626016,0.6007669214662328,0.6034682782999112
Recall (macro),0.5069520625685631,0.5998583987255885,0.5988188893700044
F1 (macro),0.35544313284616824,0.5990372885297599,0.5940671113729707
Precision (micro),0.5055,0.6,0.5985
Recall (micro),0.5055,0.6,0.5985
F1 (micro),0.5055,0.6,0.5985
Precision (weighted),0.6107163363821138,0.600742702893615,0.60353858412491
Recall (weighted),0.5055,0.6,0.5985
F1 (weighted),0.3545101367809631,0.599096230048346,0.5939398514123861
Confusion TN,23,649,494
Confusion FP,980,354,509
Confusion FN,9,446,294
Confusion TP,988,551,703
ROC-AUC,0.6546738920650286,0.6345817112354011,0.640112761014849
PR-AUC,0.6511458515840626,0.627330719972359,0.6521886561677294
MCC,0.055405665691260694,0.20062326307908696,0.2022337295964622
Brier Score,0.247251391259361,0.2435103956058253,0.24371010957572123
ECE,0.022111122474074336,0.0745348233431578,0.07577191215753559
Accuracy 95% CI low,0.4782375,0.5807125,0.57535
Accuracy 95% CI high,0.5292625,0.623525,0.6192875
Macro-F1 95% CI low,0.3410629980648722,0.579791792978194,0.5700621188542543
Macro-F1 95% CI high,0.36862413544515454,0.6228612921539176,0.6153985208474851
MCC 95% CI low,0.007032720400116966,0.16223557147522744,0.15393414801482497
MCC 95% CI high,0.08609133413264454,0.2475280982360769,0.24428504512479673
Macro-F1 [length_bucket=long],0.2919664646501031,0.5655604864147578,0.5318518743544565
Error Rate [length_bucket=long],0.5961844197138315,0.4038155802861685,0.46740858505564387
Support [length_bucket=long],629,629,629
Macro-F1 [length_bucket=medium],0.3660640434833983,0.5880772966509693,0.6030569663905827
Error Rate [length_bucket=medium],0.47027027027027024,0.4118918918918919,0.38810810810810814
Support [length_bucket=medium],925,925,925
Macro-F1 [length_bucket=short],0.4252039369001591,0.6186789783767819,0.647337901950448
Error Rate [length_bucket=short],0.4013452914798207,0.3699551569506726,0.3363228699551569
Support [length_bucket=short],446,446,446
Macro-F1 [has_negation=0],0.46735911602209945,0.5564168819982773,0.5653713332298619
Error Rate [has_negation=0],0.22718446601941744,0.3669902912621359,0.3378640776699029
Support [has_negation=0],515,515,515
Macro-F1 [has_negation=1],0.3092286354422277,0.5695511274118416,0.5762088210487059
Error Rate [has_negation=1],0.5872053872053873,0.4114478114478114,0.4235690235690236
Support [has_negation=1],1485,1485,1485
Macro-F1 [has_but=0],0.3971618291513408,0.6101610767872905,0.6039872408293461
Error Rate [has_but=0],0.43560209424083773,0.38743455497382195,0.38115183246073303
Support [has_but=0],955,955,955
Macro-F1 [has_but=1],0.3184635224299182,0.576921483557042,0.5796826054172022
Error Rate [has_but=1],0.5483253588516747,0.4114832535885168,0.4200956937799043
Support [has_but=1],1045,1045,1045
Macro-F1 [has_exclamation=0],0.3262799224443961,0.5787818979853622,0.5794377829951367
Error Rate [has_exclamation=0],0.5654205607476636,0.4121495327102803,0.42056074766355145
Support [has_exclamation=0],1070,1070,1070
Macro-F1 [has_exclamation=1],0.3817217332289942,0.6124185791119072,0.5998312974856743
Error Rate [has_exclamation=1],0.41290322580645167,0.38602150537634405,0.37956989247311823
Support [has_exclamation=1],930,930,930
Parameter Count,161089,166241,176961
Training Time (sec),0.13937139511108398,0.6304843425750732,7.58071231842041
Training Examples/sec,21525.220419935475,4758.246632655724,395.74117496983564
Inference Examples/sec,62549.27225005965,23429.313566399192,3855.404321618895
Peak Memory (MB),476.0,501.8,519.1
Peak Memory Source,process_rss,process_rss,process_rss
Device,cpu,cpu,cpu
Epochs,1,1,1
Best Epoch,1,1,1
Optimizer Steps,47,47,47
"McNemar b (baseline right, model wrong)",,449,294
"McNemar c (baseline wrong, model right)",,638,480
McNemar Statistic,,32.51517939282429,44.218346253229974
McNemar p-value,,1.1826518890936424e-08,2.937156005156971e-11
