Model,Slice,N,Macro_F1,Error_Rate
Baseline,short (<= 50 words),9362,0.9001833785782218,0.09581286049989318
Baseline,medium (51-149),16853,0.9059005524519336,0.09404853735240017
Baseline,long (>= 150 words),11785,0.8973419600897615,0.0989393296563428
Baseline,contains negation,28514,0.8955733139425908,0.10117836852072666
Baseline,truncated (> 256 tokens),782,0.8557160849370673,0.11764705882352941
BiGRU_Attention,short (<= 50 words),9362,0.9319634802857286,0.065157017731254
BiGRU_Attention,medium (51-149),16853,0.9368897647790599,0.06301548685693942
BiGRU_Attention,long (>= 150 words),11785,0.9271302292517754,0.07093763258379296
BiGRU_Attention,contains negation,28514,0.9296817497562613,0.06859788174230202
BiGRU_Attention,truncated (> 256 tokens),782,0.8805897218595631,0.10230179028132992
Transformer_Encoder,short (<= 50 words),9362,0.9184077030338091,0.0792565691091647
Transformer_Encoder,medium (51-149),16853,0.9232776466517566,0.07672224529757313
Transformer_Encoder,long (>= 150 words),11785,0.9170226263048038,0.08001697072549852
Transformer_Encoder,contains negation,28514,0.9139817246024817,0.08283650136774917
Transformer_Encoder,truncated (> 256 tokens),782,0.899628580825786,0.08184143222506395
